treatment,t_day,N_umol,P_umol,B_units
Control,6.96,5.130097950838789e-38,0.5000000000000006,1.5
Control,6.98,3.916217887209599e-38,0.5000000000000006,1.5
Control,7.0,2.989544015683411e-38,0.5000000000000006,1.5
Control,7.0200000000000005,2.2821654065428852e-38,0.5000000000000006,1.5
Control,7.04,1.742158608650156e-38,0.5000000000000006,1.5
Control,7.0600000000000005,1.3299302997589718e-38,0.5000000000000006,1.5
Control,7.08,1.0152359453506821e-38,0.5000000000000006,1.5
Control,7.1000000000000005,7.750132936004046e-39,0.5000000000000006,1.5
Control,7.12,5.91629369805227e-39,0.5000000000000006,1.5
Control,7.140000000000001,4.5163845658170026e-39,0.5000000000000006,1.5
Control,7.16,3.4476964357270645e-39,0.5000000000000006,1.5
Control,7.18,2.6319109190566373e-39,0.5000000000000006,1.5
Control,7.2,2.009147212419044e-39,0.5000000000000006,1.5
Control,7.22,1.5337442533677892e-39,0.5000000000000006,1.5
Control,7.24,1.1708224839122751e-39,0.5000000000000006,1.5
Control,7.26,8.937853251096649e-40,0.5000000000000006,1.5
Control,7.28,6.8229752057443716e-40,0.5000000000000006,1.5
Control,7.3,5.208527751474054e-40,0.5000000000000006,1.5
Control,7.32,3.976061449694978e-40,0.5000000000000006,1.5
Control,7.34,3.0352554928710236e-40,0.5000000000000006,1.5
Control,7.36,2.317052248359238e-40,0.5000000000000006,1.5
Control,7.38,1.7687930225854919e-40,0.5000000000000006,1.5
Control,7.4,1.35025290929885e-40,0.5000000000000006,1.5
Control,7.42,1.0307593611333176e-40,0.5000000000000006,1.5
Control,7.44,7.868607110145412e-41,0.5000000000000006,1.5
Control,7.46,6.006742991552061e-41,0.5000000000000006,1.5
Control,7.48,4.5853992503306603e-41,0.5000000000000006,1.5
Control,7.5,3.500413270182353e-41,0.5000000000000006,1.5
Control,7.5200000000000005,2.672144225391299e-41,0.5000000000000006,1.5
Control,7.54,2.0398633930508744e-41,0.5000000000000006,1.5
Control,7.5600000000000005,1.557181335447095e-41,0.5000000000000006,1.5
Control,7.58,1.1887248880860647e-41,0.5000000000000006,1.5
Control,7.6000000000000005,9.07448378263239e-42,0.5000000000000006,1.5
Control,7.62,6.927285998687075e-42,0.5000000000000006,1.5
Control,7.640000000000001,5.2881190471907294e-42,0.5000000000000006,1.5
Control,7.66,4.036857223666107e-42,0.5000000000000006,1.5
Control,7.68,3.08165461799507e-42,0.5000000000000006,1.5
Control,7.7,2.3524757329869545e-42,0.5000000000000006,1.5
Control,7.72,1.7958218751211105e-42,0.5000000000000006,1.5
Control,7.74,1.3708988856541389e-42,0.5000000000000006,1.5
Control,7.76,1.0465162991183848e-42,0.5000000000000006,1.5
Control,7.78,7.988903699574993e-43,0.5000000000000006,1.5
Control,7.8,6.098531781119263e-43,0.5000000000000006,1.5
Control,7.82,4.655512074269008e-43,0.5000000000000006,1.5
Control,7.84,3.553923135724338e-43,0.5000000000000006,1.5
Control,7.86,2.7129964159097676e-43,0.5000000000000006,1.5
Control,7.88,2.071034460631765e-43,0.5000000000000006,1.5
Control,7.9,1.5809913408254444e-43,0.5000000000000006,1.5
Control,7.92,1.2068966021147352e-43,0.5000000000000006,1.5
Control,7.94,9.213216017525388e-44,0.5000000000000006,1.5
Control,7.96,7.033141567620191e-44,0.5000000000000006,1.5
Control,7.98,5.368976773962093e-44,0.5000000000000006,1.5
Control,8.0,4.098567562011213e-44,0.5000000000000006,1.5
Control,8.02,3.128767472297707e-44,0.5000000000000006,1.5
Control,8.040000000000001,2.3884238167189823e-44,0.5000000000000006,1.5
Control,8.06,1.823280802050075e-44,0.5000000000000006,1.5
Control,8.08,1.391855444031949e-44,0.5000000000000006,1.5
Control,8.1,1.0625156163805443e-44,0.5000000000000006,1.5
Control,8.120000000000001,8.110981804395504e-45,0.5000000000000006,1.5
Control,8.14,6.191781084333347e-45,0.5000000000000006,1.5
Control,8.16,4.726679621039922e-45,0.5000000000000006,1.5
Control,8.18,3.608256110587382e-45,0.5000000000000006,1.5
Control,8.2,2.7544536011875442e-45,0.5000000000000006,1.5
Control,8.22,2.1027015121972112e-45,0.5000000000000006,1.5
Control,8.24,1.605159525419893e-45,0.5000000000000006,1.5
Control,8.26,1.225347840433831e-45,0.5000000000000006,1.5
Control,8.28,9.354002787903329e-46,0.5000000000000006,1.5
Control,8.3,7.140681476261287e-46,0.5000000000000006,1.5
Control,8.32,5.451050861533398e-46,0.5000000000000006,1.5
Control,8.34,4.16122715250228e-46,0.5000000000000006,1.5
Control,8.36,3.1765780377777774e-46,0.5000000000000006,1.5
Control,8.38,2.4249438947775528e-46,0.5000000000000006,1.5
Control,8.4,1.8511527997350567e-46,0.5000000000000006,1.5
Control,8.42,1.4131343642464622e-46,0.5000000000000006,1.5
Control,8.44,1.0787518732773434e-46,0.5000000000000006,1.5
Control,8.46,8.235002376688726e-47,0.5000000000000006,1.5
Control,8.48,6.286433157592944e-47,0.5000000000000006,1.5
Control,8.5,4.7989418943722155e-47,0.5000000000000006,1.5
Control,8.52,3.663393721985978e-47,0.5000000000000006,1.5
Control,8.540000000000001,2.7965704398406227e-47,0.5000000000000006,1.5
Control,8.56,2.1348449382752253e-47,0.5000000000000006,1.5
Control,8.58,1.6296994743200672e-47,0.5000000000000006,1.5
Control,8.6,1.244072329766974e-47,0.5000000000000006,1.5
Control,8.620000000000001,9.49702971201221e-48,0.5000000000000006,1.5
Control,8.64,7.249839131709528e-48,0.5000000000000006,1.5
Control,8.66,5.534387444269193e-48,0.5000000000000006,1.5
Control,8.68,4.224814691369812e-48,0.5000000000000006,1.5
Control,8.700000000000001,3.225149349571993e-48,0.5000000000000006,1.5
Control,8.72,2.4620133525075044e-48,0.5000000000000006,1.5
Control,8.74,1.8794535352024638e-48,0.5000000000000006,1.5
Control,8.76,1.4347284116316088e-48,0.5000000000000006,1.5
Control,8.78,1.095246476262847e-48,0.5000000000000006,1.5
Control,8.8,8.36088861808434e-49,0.5000000000000006,1.5
Control,8.82,6.3825412054278265e-49,0.5000000000000006,1.5
Control,8.84,4.872274325659422e-49,0.5000000000000006,1.5
Control,8.86,3.719408665292793e-49,0.5000000000000006,1.5
Control,8.88,2.839320851481809e-49,0.5000000000000006,1.5
Control,8.9,2.167482806889158e-49,0.5000000000000006,1.5
Control,8.92,1.6546028441357146e-49,0.5000000000000006,1.5
Control,8.94,1.2630947571416873e-49,0.5000000000000006,1.5
Control,8.96,9.64220822200894e-50,0.5000000000000006,1.5
Control,8.98,7.360675892174202e-50,0.5000000000000006,1.5
Control,9.0,5.618958188384567e-50,0.5000000000000006,1.5
Control,9.02,4.289414014669005e-50,0.5000000000000006,1.5
Control,9.040000000000001,3.274451330431923e-50,0.5000000000000006,1.5
Control,9.06,2.499653026885821e-50,0.5000000000000006,1.5
Control,9.08,1.9081733864241038e-50,0.5000000000000006,1.5
Control,9.1,1.456666056541549e-50,0.5000000000000006,1.5
Control,9.120000000000001,1.1119892112362485e-50,0.5000000000000006,1.5
Control,9.14,8.488711290035934e-51,0.5000000000000006,1.5
Control,9.16,6.480072551855138e-51,0.5000000000000006,1.5
Control,9.18,4.9467735989668613e-51,0.5000000000000006,1.5
Control,9.200000000000001,3.776266253872552e-51,0.5000000000000006,1.5
Control,9.22,2.882728866388185e-51,0.5000000000000006,1.5
Control,9.24,2.2006040214195427e-51,0.5000000000000006,1.5
Control,9.26,1.6799024683484536e-51,0.5000000000000006,1.5
Control,9.28,1.2824033431298574e-51,0.5000000000000006,1.5
Control,9.3,9.789619923653372e-52,0.5000000000000006,1.5
Control,9.32,7.473154074025777e-52,0.5000000000000006,1.5
Control,9.34,5.70487459493319e-52,0.5000000000000006,1.5
Control,9.36,4.354985119982217e-52,0.5000000000000006,1.5
Control,9.38,3.324511693313229e-52,0.5000000000000006,1.5
Control,9.4,2.537850120718306e-52,0.5000000000000006,1.5
Control,9.42,1.937350218665393e-52,0.5000000000000006,1.5
Control,9.44,1.4789337143318733e-52,0.5000000000000006,1.5
Control,9.46,1.1289894893949849e-52,0.5000000000000006,1.5
Control,9.48,8.618426933837243e-53,0.5000000000000006,1.5
Control,9.5,6.579155785644026e-53,0.5000000000000006,1.5
Control,9.52,5.0223935814421145e-53,0.5000000000000006,1.5
Control,9.540000000000001,3.833998447736093e-53,0.5000000000000006,1.5
Control,9.56,2.9267797261750147e-53,0.5000000000000006,1.5
Control,9.58,2.2342522500444903e-53,0.5000000000000006,1.5
Control,9.6,1.7055826804453155e-53,0.5000000000000006,1.5
Control,9.620000000000001,1.3020089412099108e-53,0.5000000000000006,1.5
Control,9.64,9.939214698122487e-54,0.5000000000000006,1.5
Control,9.66,7.587421972468498e-54,0.5000000000000006,1.5
Control,9.68,5.792083461128809e-54,0.5000000000000006,1.5
Control,9.700000000000001,4.4215648652428756e-54,0.5000000000000006,1.5
Control,9.72,3.3753134180849496e-54,0.5000000000000006,1.5
Control,9.74,2.5766549944014343e-54,0.5000000000000006,1.5
Control,9.76,1.966965964495055e-54,0.5000000000000006,1.5
Control,9.78,1.5015439017940416e-54,0.5000000000000006,1.5
Control,9.8,1.1462415307777161e-54,0.5000000000000006,1.5
Control,9.82,8.750206571170656e-55,0.5000000000000006,1.5
Control,9.84,6.679729550595861e-55,0.5000000000000006,1.5
Control,9.86,5.099176779556267e-55,0.5000000000000006,1.5
Control,9.88,3.8925856183900246e-55,0.5000000000000006,1.5
Control,9.9,2.971531509050346e-55,0.5000000000000006,1.5
Control,9.92,2.2684066564699153e-55,0.5000000000000006,1.5
Control,9.94,1.7316579154361773e-55,0.5000000000000006,1.5
Control,9.96,1.321904885632283e-55,0.5000000000000006,1.5
Control,9.98,1.0091189776446275e-55,0.5000000000000006,1.5
Control,10.0,7.703408828367927e-56,0.5000000000000006,1.5
Control,10.02,5.880633807627517e-56,0.5000000000000006,1.5
Control,10.040000000000001,4.4891306138597865e-56,0.5000000000000006,1.5
Control,10.06,3.4269234835338435e-56,0.5000000000000006,1.5
Control,10.08,2.6160436184456218e-56,0.5000000000000006,1.5
Control,10.1,1.9970372711114226e-56,0.5000000000000006,1.5
Control,10.120000000000001,1.524488931641558e-56,0.5000000000000006,1.5
Control,10.14,1.1637680810846327e-56,0.5000000000000006,1.5
Control,10.16,8.883968598950747e-57,0.5000000000000006,1.5
Control,10.18,6.781850379860912e-57,0.5000000000000006,1.5
Control,10.200000000000001,5.177097087623748e-57,0.5000000000000006,1.5
Control,10.22,3.9521050092276965e-57,0.5000000000000006,1.5
Control,10.24,3.016956502966806e-57,0.5000000000000006,1.5
Control,10.26,2.3030864391040082e-57,0.5000000000000006,1.5
Control,10.28,1.7581193079455684e-57,0.5000000000000006,1.5
Control,10.3,1.342117407912198e-57,0.5000000000000006,1.5
Control,10.32,1.0245451049735444e-57,0.5000000000000006,1.5
Control,10.34,7.821179838670438e-58,0.5000000000000006,1.5
Control,10.36,5.9704955280057164e-58,0.5000000000000006,1.5
Control,10.38,4.557771446900273e-58,0.5000000000000006,1.5
Control,10.4,3.4793099306967265e-58,0.5000000000000006,1.5
Control,10.42,2.6560381334459363e-58,0.5000000000000006,1.5
Control,10.44,2.027553914505999e-58,0.5000000000000006,1.5
Control,10.46,1.5477990554115844e-58,0.5000000000000006,1.5
Control,10.48,1.1815582871929764e-58,0.5000000000000006,1.5
Control,10.5,9.019788205660604e-59,0.5000000000000006,1.5
Control,10.52,6.885483553157882e-59,0.5000000000000006,1.5
Control,10.540000000000001,5.256257238528903e-59,0.5000000000000006,1.5
Control,10.56,4.012519763523443e-59,0.5000000000000006,1.5
Control,10.58,3.0630802416011332e-59,0.5000000000000006,1.5
Control,10.6,2.3382798070925157e-59,0.5000000000000006,1.5
Control,10.620000000000001,1.7850017456071296e-59,0.5000000000000006,1.5
Control,10.64,1.3626339916683777e-59,0.5000000000000006,1.5
Control,10.66,1.0402085229228541e-59,0.5000000000000006,1.5
Control,10.68,7.940694962155556e-60,0.5000000000000006,1.5
Control,10.700000000000001,6.061787099126532e-60,0.5000000000000006,1.5
Control,10.72,4.627444859286232e-60,0.5000000000000006,1.5
Control,10.74,3.532502206327278e-60,0.5000000000000006,1.5
Control,10.76,2.6966249415807625e-60,0.5000000000000006,1.5
Control,10.78,2.0585561288983361e-60,0.5000000000000006,1.5
Control,10.8,1.571459838567272e-60,0.5000000000000006,1.5
Control,10.82,1.199622149090255e-60,0.5000000000000006,1.5
Control,10.84,9.157619213698416e-61,0.5000000000000006,1.5
Control,10.86,6.990765704119537e-61,0.5000000000000006,1.5
Control,10.88,5.336608213221976e-61,0.5000000000000006,1.5
Control,10.9,4.073863840793272e-61,0.5000000000000006,1.5
Control,10.92,3.1098870432437566e-61,0.5000000000000006,1.5
Control,10.94,2.3740331606137832e-61,0.5000000000000006,1.5
Control,10.96,1.8122885817682395e-61,0.5000000000000006,1.5
Control,10.98,1.383466169402506e-61,0.5000000000000006,1.5
Control,11.0,1.0561039060532572e-61,0.5000000000000006,1.5
Control,11.02,8.062111771780116e-62,0.5000000000000006,1.5
Control,11.040000000000001,6.154451989692891e-62,0.5000000000000006,1.5
Control,11.06,4.698190014884114e-62,0.5000000000000006,1.5
Control,11.08,3.5864822254688365e-62,0.5000000000000006,1.5
Control,11.1,2.7378575539303256e-62,0.5000000000000006,1.5
Control,11.120000000000001,2.0900247165094477e-62,0.5000000000000006,1.5
Control,11.14,1.595484580984715e-62,0.5000000000000006,1.5
Control,11.16,1.2179535252050425e-62,0.5000000000000006,1.5
Control,11.18,9.297643344329685e-63,0.5000000000000006,1.5
Control,11.200000000000001,7.097631637936246e-63,0.5000000000000006,1.5
Control,11.22,5.418195177494871e-63,0.5000000000000006,1.5
Control,11.24,4.136116384531902e-63,0.5000000000000006,1.5
Control,11.26,3.157438619633833e-63,0.5000000000000006,1.5
Control,11.28,2.4103243597984055e-63,0.5000000000000006,1.5
Control,11.3,1.8399951545322945e-63,0.5000000000000006,1.5
Control,11.32,1.404606858337467e-63,0.5000000000000006,1.5
Control,11.34,1.0722522113988389e-63,0.5000000000000006,1.5
Control,11.36,8.185355081525078e-64,0.5000000000000006,1.5
Control,11.38,6.248542287226486e-64,0.5000000000000006,1.5
Control,11.4,4.769982860895621e-64,0.5000000000000006,1.5
Control,11.42,3.6413211572835985e-64,0.5000000000000006,1.5
Control,11.44,2.7797104376546304e-64,0.5000000000000006,1.5
Control,11.46,2.121977366031831e-64,0.5000000000000006,1.5
Control,11.48,1.6198651144398278e-64,0.5000000000000006,1.5
Control,11.5,1.2365765842705471e-64,0.5000000000000006,1.5
Control,11.52,9.439773889157223e-65,0.5000000000000006,1.5
Control,11.540000000000001,7.206141424626559e-65,0.5000000000000006,1.5
Control,11.56,5.500990392419297e-65,0.5000000000000006,1.5
Control,11.58,4.199359470689832e-65,0.5000000000000006,1.5
Control,11.6,3.2057055249826763e-65,0.5000000000000006,1.5
Control,11.620000000000001,2.4471738041592365e-65,0.5000000000000006,1.5
Control,11.64,1.8681120438817681e-65,0.5000000000000006,1.5
Control,11.66,1.4260839311036266e-65,0.5000000000000006,1.5
Control,11.68,1.0886434392997857e-65,0.5000000000000006,1.5
Control,11.700000000000001,8.310494167235298e-66,0.5000000000000006,1.5
Control,11.72,6.344026001763757e-66,0.5000000000000006,1.5
Control,11.74,4.842918051542515e-66,0.5000000000000006,1.5
Control,11.76,3.6969850433685e-66,0.5000000000000006,1.5
Control,11.78,2.822207118524713e-66,0.5000000000000006,1.5
Control,11.8,2.1544032138150802e-66,0.5000000000000006,1.5
Control,11.82,1.6446335830883156e-66,0.5000000000000006,1.5
Control,11.84,1.2554797941630354e-66,0.5000000000000006,1.5
Control,11.86,9.584090740660534e-67,0.5000000000000006,1.5
Control,11.88,7.316258171713444e-67,0.5000000000000006,1.5
Control,11.9,5.585103018128483e-67,0.5000000000000006,1.5
Control,11.92,4.263553936684241e-67,0.5000000000000006,1.5
Control,11.94,3.2547148904234706e-67,0.5000000000000006,1.5
Control,11.96,2.4845689651741675e-67,0.5000000000000006,1.5
Control,11.98,1.896676263191425e-67,0.5000000000000006,1.5
Control,12.0,1.447883766719368e-67,0.5000000000000006,1.5
+N,0.0,20.0,1.0,1.0
+N,0.02,19.835143050564348,0.9835143050564347,1.0164856949435652
+N,0.04,19.66783148260606,0.9667831482606064,1.0332168517393936
+N,0.06,19.498046039776987,0.9498046039776987,1.0501953960223014
+N,0.08,19.325768812749686,0.9325768812749686,1.0674231187250314
+N,0.1,19.15098341457805,0.9150983414578052,1.084901658542195
+N,0.12,18.97367517600708,0.8973675176007082,1.102632482399292
+N,0.14,18.793831363310673,0.8793831363310676,1.1206168636689324
+N,0.16,18.611441421667717,0.8611441421667719,1.138855857833228
+N,0.18,18.42649724749804,0.8426497247498042,1.1573502752501958
+N,0.2,18.238993493768138,0.8238993493768139,1.176100650623186
+N,0.22,18.048927912866194,0.8048927912866194,1.1951072087133805
+N,0.24,17.856301742469064,0.7856301742469064,1.2143698257530935
+N,0.26,17.661120140637863,0.7661120140637862,1.2338879859362137
+N,0.28,17.463392677518335,0.7463392677518335,1.2536607322481665
+N,0.3,17.26313389221072,0.7263133892210718,1.2736866107789282
+N,0.32,17.06036392499943,0.7060363924999425,1.2939636075000573
+N,0.34,16.855109236809373,0.685510923680937,1.314489076319063
+N,0.36,16.647403430056315,0.6647403430056312,1.3352596569943689
+N,0.38,16.43728818754565,0.6437288187545649,1.356271181245435
+N,0.4,16.22481434941055,0.6224814349410548,1.3775185650589452
+N,0.42,16.010043151645654,0.6010043151645651,1.398995684835435
+N,0.44,15.793047654588992,0.579304765458899,1.420695234541101
+N,0.46,15.57391439503274,0.5573914395032735,1.4426085604967265
+N,0.48,15.352745302631781,0.5352745302631777,1.4647254697368222
+N,0.5,15.129659928900839,0.5129659928900836,1.4870340071099164
+N,0.52,14.904798047068693,0.490479804706869,1.509520195293131
+N,0.54,14.678322692167656,0.4678322692167652,1.5321677307832349
+N,0.56,14.450423724723974,0.4450423724723971,1.554957627527603
+N,0.58,14.22132201621434,0.4221322016214336,1.5778677983785665
+N,0.6,13.991274372557116,0.39912743725571126,1.6008725627442888
+N,0.62,13.760579329932776,0.37605793299327733,1.6239420670067228
+N,0.64,13.529583976504002,0.35295839765039977,1.6470416023496002
+N,0.66,13.2986919664558,0.3298691966455797,1.6701308033544202
+N,0.68,13.068372899152608,0.3068372899152603,1.6931627100847397
+N,0.7000000000000001,12.83917321672873,0.28391732167287265,1.7160826783271275
+N,0.72,12.61172871994543,0.26117287199454275,1.7388271280054572
+N,0.74,12.386778664528718,0.23867786645287148,1.7613221335471285
+N,0.76,12.165181154349623,0.21651811543496205,1.783481884565038
+N,0.78,11.94792905923476,0.19479290592347553,1.8052070940765246
+N,0.8,11.736164917697696,0.17361649176976912,1.8263835082302309
