t_h,R_umol,assimilated_umol,supplied_umol,U_umol_h,A_umol_h,light
14.64,3.3931703878216437,13.9995112541461,15.392681641967748,0.37799480998084245,0.27033088428114715,False
14.66,3.3953212704497475,14.004918261906672,15.400239532356425,0.3777943175785605,0.2703698709459328,False
14.68,3.397467370060232,14.010326048152553,15.40779341821279,0.3775943564615464,0.2704087329031833,False
14.7,3.399608699750223,14.015734610395057,15.415343310145285,0.3773949249044929,0.27044747069895775,False
14.72,3.4017452725715156,14.02114394615639,15.42288921872791,0.3771960211884891,0.2704860848761635,False
14.74,3.4038771015307625,14.026554052969578,15.430431154500347,0.3769976436009982,0.27052457597457885,False
14.76,3.4060041995896664,14.031964928378425,15.437969127968097,0.3767997904358353,0.2705629445308754,False
14.780000000000001,3.408126579665166,14.037376569937424,15.445503149602596,0.3766024599931456,0.2706011910786406,False
14.8,3.410244254629624,14.042788975211717,15.453033229841347,0.3764056505793819,0.27063931614839926,False
14.82,3.4123572373110176,14.048202141777024,15.460559379088048,0.37620936050728254,0.2706773202676361,False
14.84,3.4144655404931195,14.053616067219584,15.468081607712708,0.3760135880958495,0.2707152039608167,False
14.86,3.4165691769156865,14.059030749136094,15.475599926051785,0.37581833167032613,0.27075296774940977,False
14.879999999999999,3.4186681592746435,14.064446185133653,15.483114344408301,0.37562358956217523,0.270790612151908,False
14.9,3.420762500222266,14.069862372829702,15.490624873051972,0.37542936010905686,0.2708281376838491,False
14.92,3.422852212367362,14.075279309851956,15.498131522219323,0.3752356416548066,0.2708655448578373,False
14.94,3.424937308275457,14.08069699383836,15.50563430211382,0.37504243254941316,0.27090283418356353,False
14.96,3.427017800468971,14.086115422437024,15.513133222905997,0.3748497311489969,0.2709400061678263,False
14.98,3.4290937014274,14.091534593306157,15.520628294733562,0.37465753581578737,0.27097706131455235,False
15.0,3.431165023587498,14.096954504114029,15.528119527701532,0.37446584491810186,0.2710140001248164,False
15.02,3.4332317793434504,14.102375152538896,15.53560693188235,0.3742746568303231,0.2710508230968618,False
15.04,3.4352939810470553,14.107796536268951,15.543090517316012,0.3740839699328779,0.2710875307261202,False
15.06,3.437351641007899,14.113218653002274,15.550570294010177,0.3738937826122146,0.27112412350523085,False
15.08,3.4394047714935296,14.11864150044676,15.558046271940295,0.37370409326078224,0.2711606019240613,False
15.1,3.4414533847296376,14.124065076320083,15.565518461049724,0.3735149002770079,0.27119696646972563,False
15.120000000000001,3.443497492900225,14.129489378349625,15.572986871249855,0.3733262020652752,0.27123321762660463,False
15.14,3.445537108147779,14.134914404272433,15.580451512420217,0.3731379970359032,0.2712693558763642,False
15.16,3.447572242573449,14.14034015183516,15.587912394408612,0.3729502836051238,0.27130538169797475,False
15.18,3.4496029082372135,14.145766618794006,15.595369527031224,0.3727630601950606,0.27134129556772996,False
15.2,3.451629117158053,14.151193802914682,15.602822920072738,0.37257632523370754,0.2713770979592653,False
15.22,3.4536508813141213,14.15662170197233,15.610272583286456,0.37239007715490663,0.2714127893435762,False
15.24,3.455668212642912,14.162050313751498,15.617718526394414,0.37220431439832735,0.2714483701890372,False
15.26,3.4576811230414295,14.167479636046073,15.625160759087505,0.3720190354094442,0.27148384096141925,False
15.280000000000001,3.459689624366357,14.172909666659224,15.632599291025583,0.37183423863951587,0.2715192021239081,False
15.3,3.4616937284342204,14.178340403403368,15.64003413183759,0.3716499225455637,0.2715544541371224,False
15.32,3.463693447021559,14.183771844100102,15.647465291121662,0.3714660855903503,0.2715895974591309,False
15.34,3.4656887918650865,14.189203986580162,15.654892778445252,0.3712827262423582,0.2716246325454705,False
15.36,3.4676797746618595,14.19463682868337,15.662316603345232,0.37109984297576837,0.2716595598491635,False
15.379999999999999,3.469666407069438,14.200070368258581,15.669736775328023,0.3709174342704394,0.27169437982073485,False
15.4,3.4716487007060515,14.20550460316364,15.677153303869694,0.3707354986118859,0.27172909290822944,False
15.42,3.473626667150759,14.210939531265321,15.684566198416082,0.3705540344912576,0.2717636995572288,False
15.44,3.475600317943611,14.216375150439292,15.691975468382907,0.3703730404053182,0.27179820021086837,False
15.46,3.477569664585813,14.221811458570059,15.699381123155876,0.37019251485642407,0.2718325953098541,False
15.48,3.4795347185398815,14.227248453550912,15.706783172090796,0.37001245635250346,0.2718668852924789,False
15.5,3.481495491229805,14.232686133283888,15.714181624513696,0.3698328634070355,0.271901070594639,False
15.52,3.483451994041205,14.238124495679719,15.721576489720926,0.3696537345390291,0.2719351516498509,False
15.54,3.485404238321489,14.243563538657778,15.72896777697927,0.36947506827300247,0.2719691288892669,False
15.56,3.4873522353800124,14.249003260146043,15.736355495526057,0.3692968631389617,0.27200300274169137,False
15.58,3.4892959964882313,14.254443658081042,15.743739654569277,0.3691191176723804,0.2720367736335967,False
15.6,3.4912355328798603,14.259884730407812,15.751120263287673,0.3689418304141789,0.27207044198913927,False
15.620000000000001,3.493170855751026,14.265326475079846,15.758497330830874,0.3687649999107032,0.27210400823017483,False
15.64,3.4951019762604227,14.270768890059053,15.765870866319476,0.36858862471370507,0.27213747277627437,False
15.66,3.497028905529463,14.276211973315712,15.773240878845177,0.3684127033803206,0.2721708360447391,False
15.68,3.4989516546424353,14.281655722828425,15.780607377470862,0.36823723447305023,0.2722040984506162,False
15.7,3.5008702346466505,14.287100136584073,15.787970371230724,0.36806221655973814,0.27223726040671387,False
15.72,3.502784656552597,14.292545212577767,15.795329869130365,0.3678876482135515,0.27227032232361614,False
