"alpha","nu","k","q_critical"
"0.025","40",34,"6.179"
"0.025","40",36,"6.226"
"0.025","60",20,"5.588"
"0.025","60",22,"5.664"
"0.025","60",24,"5.733"
"0.025","60",26,"5.796"
"0.025","60",28,"5.854"
"0.025","60",30,"5.908"
"0.025","60",32,"5.957"
"0.025","60",34,"6.004"
"0.025","60",36,"6.048"
"0.025","120",20,"5.442"
"0.025","120",22,"5.513"
"0.025","120",24,"5.578"
"0.025","120",26,"5.637"
"0.025","120",28,"5.691"
"0.025","120",30,"5.741"
"0.025","120",32,"5.787"
"0.025","120",34,"5.831"
"0.025","120",36,"5.871"
"0.025","Inf",20,"5.299"
"0.025","Inf",22,"5.365"
"0.025","Inf",24,"5.425"
"0.025","Inf",26,"5.480"
"0.025","Inf",28,"5.530"
"0.025","Inf",30,"5.577"
"0.025","Inf",32,"5.620"
"0.025","Inf",34,"5.660"
"0.025","Inf",36,"5.698"
"0.025","1",38,"136.580"
"0.025","1",40,"137.900"
"0.025","1",50,"143.535"
"0.025","1",60,"148.016"
"0.025","1",70,"151.722"
"0.025","1",80,"154.876"
"0.025","1",90,"157.616"
"0.025","1",100,"160.034"
"0.025","2",38,"27.213"
"0.025","2",40,"27.466"
"0.025","2",50,"28.550"
"0.025","2",60,"29.413"
"0.025","2",70,"30.128"
"0.025","2",80,"30.738"
"0.025","2",90,"31.267"
"0.025","2",100,"31.736"
"0.025","3",38,"16.308"
"0.025","3",40,"16.455"
"0.025","3",50,"17.084"
"0.025","3",60,"17.586"
"0.025","3",70,"18.003"
"0.025","3",80,"18.359"
"0.025","3",90,"18.668"
"0.025","3",100,"18.942"
"0.025","4",38,"12.677"
"0.025","4",40,"12.788"
"0.025","4",50,"13.264"
"0.025","4",60,"13.645"
"0.025","4",70,"13.962"
"0.025","4",80,"14.232"
"0.025","4",90,"14.467"
"0.025","4",100,"14.675"
"0.025","5",38,"10.902"
"0.025","5",40,"10.995"
"0.025","5",50,"11.396"
"0.025","5",60,"11.716"
"0.025","5",70,"11.982"
"0.025","5",80,"12.210"
"0.025","5",90,"12.408"
"0.025","5",100,"12.584"
"0.025","6",38,"9.855"
"0.025","6",40,"9.937"
"0.025","6",50,"10.291"
"0.025","6",60,"10.575"
"0.025","6",70,"10.812"
"0.025","6",80,"11.014"
"0.025","6",90,"11.190"
"0.025","6",100,"11.346"
"0.025","7",38,"9.163"
"0.025","7",40,"9.239"
"0.025","7",50,"9.562"
"0.025","7",60,"9.822"
"0.025","7",70,"10.038"
"0.025","7",80,"10.222"
"0.025","7",90,"10.384"
"0.025","7",100,"10.527"
"0.025","8",38,"8.673"
"0.025","8",40,"8.743"
"0.025","8",50,"9.044"
"0.025","8",60,"9.286"
"0.025","8",70,"9.487"
"0.025","8",80,"9.660"
"0.025","8",90,"9.810"
"0.025","8",100,"9.943"
"0.025","9",38,"8.307"
"0.025","9",40,"8.373"
"0.025","9",50,"8.657"
"0.025","9",60,"8.885"
"0.025","9",70,"9.075"
"0.025","9",80,"9.238"
"0.025","9",90,"9.380"
"0.025","9",100,"9.507"
"0.025","10",38,"8.023"
"0.025","10",40,"8.085"
"0.025","10",50,"8.356"
"0.025","10",60,"8.574"
"0.025","10",70,"8.755"
"0.025","10",80,"8.910"
"0.025","10",90,"9.046"
"0.025","10",100,"9.166"
"0.025","11",38,"7.795"
"0.025","11",40,"7.856"
"0.025","11",50,"8.116"
"0.025","11",60,"8.324"
"0.025","11",70,"8.499"
"0.025","11",80,"8.648"
"0.025","11",90,"8.778"
"0.025","11",100,"8.894"
"0.025","12",38,"7.610"
"0.025","12",40,"7.668"
"0.025","12",50,"7.919"
"0.025","12",60,"8.120"
"0.025","12",70,"8.289"
"0.025","12",80,"8.433"
"0.025","12",90,"8.559"
"0.025","12",100,"8.670"
"0.025","13",38,"7.455"
"0.025","13",40,"7.511"
"0.025","13",50,"7.754"
"0.025","13",60,"7.950"
"0.025","13",70,"8.113"
"0.025","13",80,"8.253"
"0.025","13",90,"8.375"
"0.025","13",100,"8.484"
"0.025","14",38,"7.324"
"0.025","14",40,"7.379"
"0.025","14",50,"7.615"
"0.025","14",60,"7.806"
"0.025","14",70,"7.964"
"0.025","14",80,"8.100"
"0.025","14",90,"8.219"
"0.025","14",100,"8.325"
"0.025","15",38,"7.212"
"0.025","15",40,"7.265"
"0.025","15",50,"7.496"
"0.025","15",60,"7.682"
"0.025","15",70,"7.837"
"0.025","15",80,"7.969"
"0.025","15",90,"8.086"
"0.025","15",100,"8.189"
"0.025","16",38,"7.114"
"0.025","16",40,"7.167"
"0.025","16",50,"7.392"
"0.025","16",60,"7.574"
"0.025","16",70,"7.726"
"0.025","16",80,"7.856"
"0.025","16",90,"7.969"
"0.025","16",100,"8.070"
"0.025","17",38,"7.029"
"0.025","17",40,"7.080"
"0.025","17",50,"7.301"
"0.025","17",60,"7.479"
"0.025","17",70,"7.628"
"0.025","17",80,"7.756"
"0.025","17",90,"7.867"
"0.025","17",100,"7.966"
"0.025","18",38,"6.954"
"0.025","18",40,"7.004"
"0.025","18",50,"7.221"
"0.025","18",60,"7.396"
"0.025","18",70,"7.542"
"0.025","18",80,"7.667"
"0.025","18",90,"7.777"
"0.025","18",100,"7.874"
"0.025","19",38,"6.887"
"0.025","19",40,"6.936"
"0.025","19",50,"7.150"
"0.025","19",60,"7.322"
"0.025","19",70,"7.465"
"0.025","19",80,"7.589"
"0.025","19",90,"7.696"
"0.025","19",100,"7.792"
"0.025","20",38,"6.827"
"0.025","20",40,"6.876"
"0.025","20",50,"7.086"
"0.025","20",60,"7.255"
"0.025","20",70,"7.397"
"0.025","20",80,"7.518"
"0.025","20",90,"7.624"
"0.025","20",100,"7.718"
"0.025","24",38,"6.639"
"0.025","24",40,"6.685"
"0.025","24",50,"6.885"
"0.025","24",60,"7.046"
"0.025","24",70,"7.180"
"0.025","24",80,"7.295"
"0.025","24",90,"7.396"
"0.025","24",100,"7.486"
"0.025","30",38,"6.453"
"0.025","30",40,"6.497"
"0.025","30",50,"6.686"
"0.025","30",60,"6.838"
"0.025","30",70,"6.965"
"0.025","30",80,"7.075"
"0.025","30",90,"7.170"
"0.025","30",100,"7.255"
"0.025","40",38,"6.270"
"0.025","40",40,"6.311"
"0.025","40",50,"6.489"
"0.025","40",60,"6.633"
"0.025","40",70,"6.752"
"0.025","40",80,"6.855"
"0.025","40",90,"6.945"
"0.025","40",100,"7.025"
"0.025","60",38,"6.089"
"0.025","60",40,"6.127"
"0.025","60",50,"6.294"
"0.025","60",60,"6.428"
"0.025","60",70,"6.540"
"0.025","60",80,"6.636"
"0.025","60",90,"6.720"
"0.025","60",100,"6.795"
"0.025","120",38,"5.910"
"0.025","120",40,"5.946"
"0.025","120",50,"6.101"
"0.025","120",60,"6.225"
"0.025","120",70,"6.329"
"0.025","120",80,"6.418"
"0.025","120",90,"6.495"
"0.025","120",100,"6.564"
"0.025","Inf",38,"5.733"
"0.025","Inf",40,"5.766"
"0.025","Inf",50,"5.909"
"0.025","Inf",60,"6.023"
"0.025","Inf",70,"6.118"
"0.025","Inf",80,"6.199"
"0.025","Inf",90,"6.270"
"0.025","Inf",100,"6.333"
"0.01","1",2,"90.024"
"0.01","1",3,"135.041"
"0.01","1",4,"164.258"
"0.01","1",5,"185.575"
"0.01","1",6,"202.210"
"0.01","1",7,"215.769"
"0.01","1",8,"227.166"
"0.01","1",9,"236.966"
"0.01","1",10,"245.542"
"0.01","2",2,"14.036"
"0.01","2",3,"19.019"
"0.01","2",4,"22.294"
"0.01","2",5,"24.717"
"0.01","2",6,"26.629"
"0.01","2",7,"28.201"
"0.01","2",8,"29.530"
"0.01","2",9,"30.679"
"0.01","2",10,"31.689"
"0.01","3",2,"8.260"
"0.01","3",3,"10.619"
"0.01","3",4,"12.170"
"0.01","3",5,"13.324"
"0.01","3",6,"14.241"
"0.01","3",7,"14.998"
"0.01","3",8,"15.641"
"0.01","3",9,"16.199"
"0.01","3",10,"16.691"
"0.01","4",2,"6.511"
"0.01","4",3,"8.120"
"0.01","4",4,"9.173"
"0.01","4",5,"9.958"
"0.01","4",6,"10.583"
"0.01","4",7,"11.101"
"0.01","4",8,"11.542"
"0.01","4",9,"11.925"
"0.01","4",10,"12.264"
"0.01","5",2,"5.702"
"0.01","5",3,"6.976"
"0.01","5",4,"7.804"
"0.01","5",5,"8.421"
"0.01","5",6,"8.913"
"0.01","5",7,"9.321"
"0.01","5",8,"9.669"
"0.01","5",9,"9.971"
"0.01","5",10,"10.239"
"0.01","6",2,"5.243"
"0.01","6",3,"6.331"
"0.01","6",4,"7.033"
"0.01","6",5,"7.556"
"0.01","6",6,"7.972"
"0.01","6",7,"8.318"
"0.01","6",8,"8.612"
"0.01","6",9,"8.869"
"0.01","6",10,"9.097"
"0.01","7",2,"4.949"
"0.01","7",3,"5.919"
"0.01","7",4,"6.542"
"0.01","7",5,"7.005"
"0.01","7",6,"7.373"
"0.01","7",7,"7.678"
"0.01","7",8,"7.939"
"0.01","7",9,"8.166"
"0.01","7",10,"8.367"
"0.01","8",2,"4.745"
"0.01","8",3,"5.635"
"0.01","8",4,"6.204"
"0.01","8",5,"6.625"
"0.01","8",6,"6.959"
"0.01","8",7,"7.237"
"0.01","8",8,"7.474"
"0.01","8",9,"7.680"
"0.01","8",10,"7.863"
"0.01","9",2,"4.596"
"0.01","9",3,"5.428"
"0.01","9",4,"5.957"
"0.01","9",5,"6.347"
"0.01","9",6,"6.657"
"0.01","9",7,"6.915"
"0.01","9",8,"7.134"
"0.01","9",9,"7.325"
"0.01","9",10,"7.494"
"0.01","10",2,"4.482"
"0.01","10",3,"5.270"
"0.01","10",4,"5.769"
"0.01","10",5,"6.136"
"0.01","10",6,"6.428"
"0.01","10",7,"6.669"
"0.01","10",8,"6.875"
"0.01","10",9,"7.054"
"0.01","10",10,"7.213"
"0.01","11",2,"4.392"
"0.01","11",3,"5.146"
"0.01","11",4,"5.621"
"0.01","11",5,"5.970"
"0.01","11",6,"6.247"
"0.01","11",7,"6.476"
"0.01","11",8,"6.671"
"0.01","11",9,"6.841"
"0.01","11",10,"6.992"
"0.01","12",2,"4.320"
"0.01","12",3,"5.046"
"0.01","12",4,"5.502"
"0.01","12",5,"5.836"
"0.01","12",6,"6.101"
"0.01","12",7,"6.320"
"0.01","12",8,"6.507"
"0.01","12",9,"6.670"
"0.01","12",10,"6.814"
"0.01","13",2,"4.260"
"0.01","13",3,"4.964"
"0.01","13",4,"5.404"
"0.01","13",5,"5.726"
"0.01","13",6,"5.981"
"0.01","13",7,"6.192"
"0.01","13",8,"6.372"
"0.01","13",9,"6.528"
"0.01","13",10,"6.666"
"0.01","14",2,"4.210"
"0.01","14",3,"4.895"
"0.01","14",4,"5.322"
"0.01","14",5,"5.634"
"0.01","14",6,"5.881"
"0.01","14",7,"6.085"
"0.01","14",8,"6.258"
"0.01","14",9,"6.409"
"0.01","14",10,"6.543"
"0.01","15",2,"4.167"
"0.01","15",3,"4.836"
"0.01","15",4,"5.252"
"0.01","15",5,"5.556"
"0.01","15",6,"5.796"
"0.01","15",7,"5.994"
"0.01","15",8,"6.162"
"0.01","15",9,"6.309"
"0.01","15",10,"6.438"
"0.01","16",2,"4.131"
"0.01","16",3,"4.786"
"0.01","16",4,"5.192"
"0.01","16",5,"5.489"
"0.01","16",6,"5.722"
"0.01","16",7,"5.915"
"0.01","16",8,"6.079"
"0.01","16",9,"6.222"
"0.01","16",10,"6.348"
"0.01","17",2,"4.099"
"0.01","17",3,"4.742"
"0.01","17",4,"5.140"
"0.01","17",5,"5.430"
"0.01","17",6,"5.659"
"0.01","17",7,"5.847"
"0.01","17",8,"6.007"
"0.01","17",9,"6.147"
"0.01","17",10,"6.270"
"0.01","18",2,"4.071"
"0.01","18",3,"4.703"
"0.01","18",4,"5.094"
"0.01","18",5,"5.379"
"0.01","18",6,"5.603"
"0.01","18",7,"5.787"
"0.01","18",8,"5.944"
"0.01","18",9,"6.081"
"0.01","18",10,"6.201"
"0.01","19",2,"4.046"
"0.01","19",3,"4.669"
"0.01","19",4,"5.054"
"0.01","19",5,"5.334"
"0.01","19",6,"5.553"
"0.01","19",7,"5.735"
"0.01","19",8,"5.889"
"0.01","19",9,"6.022"
"0.01","19",10,"6.141"
"0.01","20",2,"4.024"
"0.01","20",3,"4.639"
"0.01","20",4,"5.018"
"0.01","20",5,"5.293"
"0.01","20",6,"5.510"
"0.01","20",7,"5.688"
"0.01","20",8,"5.839"
"0.01","20",9,"5.970"
"0.01","20",10,"6.086"
"0.01","24",2,"3.955"
"0.01","24",3,"4.546"
"0.01","24",4,"4.907"
"0.01","24",5,"5.168"
"0.01","24",6,"5.373"
"0.01","24",7,"5.542"
"0.01","24",8,"5.685"
"0.01","24",9,"5.809"
"0.01","24",10,"5.919"
"0.01","30",2,"3.889"
"0.01","30",3,"4.455"
"0.01","30",4,"4.799"
"0.01","30",5,"5.048"
"0.01","30",6,"5.242"
"0.01","30",7,"5.401"
"0.01","30",8,"5.536"
"0.01","30",9,"5.653"
"0.01","30",10,"5.756"
"0.01","40",2,"3.825"
"0.01","40",3,"4.367"
"0.01","40",4,"4.695"
"0.01","40",5,"4.931"
"0.01","40",6,"5.114"
"0.01","40",7,"5.265"
"0.01","40",8,"5.392"
"0.01","40",9,"5.502"
"0.01","40",10,"5.599"
"0.01","60",2,"3.762"
"0.01","60",3,"4.282"
"0.01","60",4,"4.594"
"0.01","60",5,"4.818"
"0.01","60",6,"4.991"
"0.01","60",7,"5.133"
"0.01","60",8,"5.253"
"0.01","60",9,"5.356"
"0.01","60",10,"5.447"
"0.01","120",2,"3.702"
"0.01","120",3,"4.200"
"0.01","120",4,"4.497"
"0.01","120",5,"4.709"
"0.01","120",6,"4.872"
"0.01","120",7,"5.005"
"0.01","120",8,"5.118"
"0.01","120",9,"5.214"
"0.01","120",10,"5.299"
"0.01","Inf",2,"3.643"
"0.01","Inf",3,"4.120"
"0.01","Inf",4,"4.403"
"0.01","Inf",5,"4.603"
"0.01","Inf",6,"4.757"
"0.01","Inf",7,"4.882"
"0.01","Inf",8,"4.987"
"0.01","Inf",9,"5.078"
"0.01","Inf",10,"5.157"
"0.01","1",11,"253.151"
"0.01","1",12,"259.979"
"0.01","1",13,"266.165"
"0.01","1",14,"271.812"
"0.01","1",15,"277.003"
"0.01","1",16,"281.803"
"0.01","1",17,"286.263"
"0.01","1",18,"290.426"
"0.01","1",19,"294.328"
"0.01","2",11,"32.589"
"0.01","2",12,"33.398"
"0.01","2",13,"34.134"
"0.01","2",14,"34.806"
"0.01","2",15,"35.426"
"0.01","2",16,"36.000"
"0.01","2",17,"36.534"
"0.01","2",18,"37.034"
"0.01","2",19,"37.502"
"0.01","3",11,"17.130"
"0.01","3",12,"17.526"
"0.01","3",13,"17.887"
"0.01","3",14,"18.217"
"0.01","3",15,"18.522"
"0.01","3",16,"18.805"
"0.01","3",17,"19.068"
"0.01","3",18,"19.315"
"0.01","3",19,"19.546"
"0.01","4",11,"12.567"
"0.01","4",12,"12.840"
"0.01","4",13,"13.090"
"0.01","4",14,"13.318"
"0.01","4",15,"13.530"
"0.01","4",16,"13.726"
"0.01","4",17,"13.909"
"0.01","4",18,"14.081"
"0.01","4",19,"14.242"
"0.01","5",11,"10.479"
"0.01","5",12,"10.696"
"0.01","5",13,"10.894"
"0.01","5",14,"11.076"
"0.01","5",15,"11.244"
"0.01","5",16,"11.400"
"0.01","5",17,"11.545"
"0.01","5",18,"11.682"
"0.01","5",19,"11.811"
"0.01","6",11,"9.300"
"0.01","6",12,"9.485"
"0.01","6",13,"9.653"
"0.01","6",14,"9.808"
"0.01","6",15,"9.951"
"0.01","6",16,"10.084"
"0.01","6",17,"10.208"
"0.01","6",18,"10.325"
"0.01","6",19,"10.434"
"0.01","7",11,"8.548"
"0.01","7",12,"8.711"
"0.01","7",13,"8.860"
"0.01","7",14,"8.997"
"0.01","7",15,"9.124"
"0.01","7",16,"9.242"
"0.01","7",17,"9.353"
"0.01","7",18,"9.456"
"0.01","7",19,"9.553"
"0.01","8",11,"8.027"
"0.01","8",12,"8.176"
"0.01","8",13,"8.311"
"0.01","8",14,"8.436"
"0.01","8",15,"8.552"
"0.01","8",16,"8.659"
"0.01","8",17,"8.760"
"0.01","8",18,"8.854"
"0.01","8",19,"8.943"
"0.01","9",11,"7.646"
"0.01","9",12,"7.784"
"0.01","9",13,"7.910"
"0.01","9",14,"8.025"
"0.01","9",15,"8.132"
"0.01","9",16,"8.232"
"0.01","9",17,"8.325"
"0.01","9",18,"8.412"
"0.01","9",19,"8.495"
"0.01","10",11,"7.356"
"0.01","10",12,"7.485"
"0.01","10",13,"7.603"
"0.01","10",14,"7.712"
"0.01","10",15,"7.812"
"0.01","10",16,"7.906"
"0.01","10",17,"7.993"
"0.01","10",18,"8.075"
"0.01","10",19,"8.153"
"0.01","11",11,"7.127"
"0.01","11",12,"7.250"
"0.01","11",13,"7.362"
"0.01","11",14,"7.464"
"0.01","11",15,"7.560"
"0.01","11",16,"7.648"
"0.01","11",17,"7.731"
"0.01","11",18,"7.809"
"0.01","11",19,"7.883"
"0.01","12",11,"6.943"
"0.01","12",12,"7.060"
"0.01","12",13,"7.166"
"0.01","12",14,"7.265"
"0.01","12",15,"7.356"
"0.01","12",16,"7.441"
"0.01","12",17,"7.520"
"0.01","12",18,"7.594"
"0.01","12",19,"7.664"
"0.01","13",11,"6.791"
"0.01","13",12,"6.903"
"0.01","13",13,"7.006"
"0.01","13",14,"7.100"
"0.01","13",15,"7.188"
"0.01","13",16,"7.269"
"0.01","13",17,"7.345"
"0.01","13",18,"7.417"
"0.01","13",19,"7.484"
"0.01","14",11,"6.663"
"0.01","14",12,"6.772"
"0.01","14",13,"6.871"
"0.01","14",14,"6.962"
"0.01","14",15,"7.047"
"0.01","14",16,"7.125"
"0.01","14",17,"7.199"
"0.01","14",18,"7.268"
"0.01","14",19,"7.333"
"0.01","15",11,"6.555"
"0.01","15",12,"6.660"
"0.01","15",13,"6.756"
"0.01","15",14,"6.845"
"0.01","15",15,"6.927"
"0.01","15",16,"7.003"
"0.01","15",17,"7.074"
"0.01","15",18,"7.141"
"0.01","15",19,"7.204"
"0.01","16",11,"6.461"
"0.01","16",12,"6.564"
"0.01","16",13,"6.658"
"0.01","16",14,"6.744"
"0.01","16",15,"6.823"
"0.01","16",16,"6.897"
"0.01","16",17,"6.967"
"0.01","16",18,"7.032"
"0.01","16",19,"7.093"
"0.01","17",11,"6.380"
"0.01","17",12,"6.480"
"0.01","17",13,"6.572"
"0.01","17",14,"6.656"
"0.01","17",15,"6.733"
"0.01","17",16,"6.806"
"0.01","17",17,"6.873"
"0.01","17",18,"6.937"
"0.01","17",19,"6.997"
"0.01","18",11,"6.309"
"0.01","18",12,"6.407"
"0.01","18",13,"6.496"
"0.01","18",14,"6.579"
"0.01","18",15,"6.655"
"0.01","18",16,"6.725"
"0.01","18",17,"6.791"
"0.01","18",18,"6.854"
"0.01","18",19,"6.912"
"0.01","19",11,"6.246"
"0.01","19",12,"6.342"
"0.01","19",13,"6.430"
"0.01","19",14,"6.510"
"0.01","19",15,"6.585"
"0.01","19",16,"6.654"
"0.01","19",17,"6.719"
"0.01","19",18,"6.780"
"0.01","19",19,"6.837"
"0.01","20",11,"6.190"
"0.01","20",12,"6.285"
"0.01","20",13,"6.370"
"0.01","20",14,"6.449"
"0.01","20",15,"6.523"
"0.01","20",16,"6.591"
"0.01","20",17,"6.654"
"0.01","20",18,"6.714"
"0.01","20",19,"6.770"
"0.01","24",11,"6.017"
"0.01","24",12,"6.105"
"0.01","24",13,"6.186"
"0.01","24",14,"6.261"
"0.01","24",15,"6.330"
"0.01","24",16,"6.394"
"0.01","24",17,"6.453"
"0.01","24",18,"6.510"
"0.01","24",19,"6.562"
"0.01","30",11,"5.848"
"0.01","30",12,"5.932"
"0.01","30",13,"6.008"
"0.01","30",14,"6.078"
"0.01","30",15,"6.142"
"0.01","30",16,"6.202"
"0.01","30",17,"6.258"
"0.01","30",18,"6.311"
"0.01","30",19,"6.361"
"0.01","40",11,"5.685"
"0.01","40",12,"5.764"
"0.01","40",13,"5.835"
"0.01","40",14,"5.900"
"0.01","40",15,"5.961"
"0.01","40",16,"6.017"
"0.01","40",17,"6.069"
"0.01","40",18,"6.118"
"0.01","40",19,"6.165"
"0.01","60",11,"5.528"
"0.01","60",12,"5.601"
"0.01","60",13,"5.667"
"0.01","60",14,"5.728"
"0.01","60",15,"5.784"
"0.01","60",16,"5.837"
"0.01","60",17,"5.886"
"0.01","60",18,"5.931"
"0.01","60",19,"5.974"
"0.01","120",11,"5.375"
"0.01","120",12,"5.443"
"0.01","120",13,"5.505"
"0.01","120",14,"5.561"
"0.01","120",15,"5.614"
"0.01","120",16,"5.662"
"0.01","120",17,"5.708"
"0.01","120",18,"5.750"
"0.01","120",19,"5.790"
"0.01","Inf",11,"5.227"
"0.01","Inf",12,"5.290"
"0.01","Inf",13,"5.348"
"0.01","Inf",14,"5.400"
"0.01","Inf",15,"5.448"
"0.01","Inf",16,"5.493"
"0.01","Inf",17,"5.535"
"0.01","Inf",18,"5.574"
"0.01","Inf",19,"5.611"
"0.01","1",20,"297.997"
"0.01","1",22,"304.734"
"0.01","1",24,"310.795"
"0.01","1",26,"316.298"
"0.01","1",28,"321.332"
"0.01","1",30,"325.968"
"0.01","1",32,"330.262"
"0.01","1",34,"334.258"
"0.01","1",36,"337.994"
"0.01","2",20,"37.943"
"0.01","2",22,"38.755"
"0.01","2",24,"39.486"
"0.01","2",26,"40.151"
"0.01","2",28,"40.760"
"0.01","2",30,"41.322"
"0.01","2",32,"41.843"
"0.01","2",34,"42.328"
"0.01","2",36,"42.782"
"0.01","3",20,"19.765"
"0.01","3",22,"20.167"
"0.01","3",24,"20.530"
"0.01","3",26,"20.860"
"0.01","3",28,"21.163"
"0.01","3",30,"21.443"
"0.01","3",32,"21.703"
"0.01","3",34,"21.945"
"0.01","3",36,"22.171"
"0.01","4",20,"14.394"
"0.01","4",22,"14.674"
"0.01","4",24,"14.928"
"0.01","4",26,"15.158"
"0.01","4",28,"15.370"
"0.01","4",30,"15.566"
"0.01","4",32,"15.748"
"0.01","4",34,"15.918"
"0.01","4",36,"16.077"
"0.01","5",20,"11.932"
"0.01","5",22,"12.155"
"0.01","5",24,"12.358"
"0.01","5",26,"12.542"
"0.01","5",28,"12.712"
"0.01","5",30,"12.869"
"0.01","5",32,"13.015"
"0.01","5",34,"13.151"
"0.01","5",36,"13.278"
"0.01","6",20,"10.538"
"0.01","6",22,"10.729"
"0.01","6",24,"10.902"
"0.01","6",26,"11.060"
"0.01","6",28,"11.205"
"0.01","6",30,"11.339"
"0.01","6",32,"11.464"
"0.01","6",34,"11.581"
"0.01","6",36,"11.690"
"0.01","7",20,"9.645"
"0.01","7",22,"9.815"
"0.01","7",24,"9.969"
"0.01","7",26,"10.110"
"0.01","7",28,"10.239"
"0.01","7",30,"10.359"
"0.01","7",32,"10.470"
"0.01","7",34,"10.574"
"0.01","7",36,"10.671"
"0.01","8",20,"9.027"
"0.01","8",22,"9.181"
"0.01","8",24,"9.322"
"0.01","8",26,"9.450"
"0.01","8",28,"9.568"
"0.01","8",30,"9.677"
"0.01","8",32,"9.779"
"0.01","8",34,"9.874"
"0.01","8",36,"9.963"
"0.01","9",20,"8.573"
"0.01","9",22,"8.716"
"0.01","9",24,"8.847"
"0.01","9",26,"8.966"
"0.01","9",28,"9.075"
"0.01","9",30,"9.177"
"0.01","9",32,"9.271"
"0.01","9",34,"9.359"
"0.01","9",36,"9.442"
"0.01","10",20,"8.226"
"0.01","10",22,"8.361"
"0.01","10",24,"8.483"
"0.01","10",26,"8.595"
"0.01","10",28,"8.698"
"0.01","10",30,"8.794"
"0.01","10",32,"8.882"
"0.01","10",34,"8.965"
"0.01","10",36,"9.043"
"0.01","11",20,"7.952"
"0.01","11",22,"8.080"
"0.01","11",24,"8.196"
"0.01","11",26,"8.302"
"0.01","11",28,"8.400"
"0.01","11",30,"8.491"
"0.01","11",32,"8.575"
"0.01","11",34,"8.654"
"0.01","11",36,"8.728"
"0.01","12",20,"7.730"
"0.01","12",22,"7.853"
"0.01","12",24,"7.964"
"0.01","12",26,"8.065"
"0.01","12",28,"8.159"
"0.01","12",30,"8.246"
"0.01","12",32,"8.326"
"0.01","12",34,"8.402"
"0.01","12",36,"8.473"
"0.01","13",20,"7.548"
"0.01","13",22,"7.665"
"0.01","13",24,"7.772"
"0.01","13",26,"7.870"
"0.01","13",28,"7.960"
"0.01","13",30,"8.043"
"0.01","13",32,"8.121"
"0.01","13",34,"8.193"
"0.01","13",36,"8.261"
"0.01","14",20,"7.394"
"0.01","14",22,"7.508"
"0.01","14",24,"7.611"
"0.01","14",26,"7.705"
"0.01","14",28,"7.792"
"0.01","14",30,"7.873"
"0.01","14",32,"7.948"
"0.01","14",34,"8.018"
"0.01","14",36,"8.083"
"0.01","15",20,"7.264"
"0.01","15",22,"7.374"
"0.01","15",24,"7.474"
"0.01","15",26,"7.565"
"0.01","15",28,"7.649"
"0.01","15",30,"7.727"
"0.01","15",32,"7.800"
"0.01","15",34,"7.868"
"0.01","15",36,"7.932"
"0.01","16",20,"7.151"
"0.01","16",22,"7.258"
"0.01","16",24,"7.356"
"0.01","16",26,"7.444"
"0.01","16",28,"7.526"
"0.01","16",30,"7.602"
"0.01","16",32,"7.673"
"0.01","16",34,"7.739"
"0.01","16",36,"7.801"
"0.01","17",20,"7.053"
"0.01","17",22,"7.158"
"0.01","17",24,"7.253"
"0.01","17",26,"7.339"
"0.01","17",28,"7.419"
"0.01","17",30,"7.493"
"0.01","17",32,"7.562"
"0.01","17",34,"7.627"
"0.01","17",36,"7.687"
"0.01","18",20,"6.967"
"0.01","18",22,"7.069"
"0.01","18",24,"7.162"
"0.01","18",26,"7.247"
"0.01","18",28,"7.325"
"0.01","18",30,"7.397"
"0.01","18",32,"7.465"
"0.01","18",34,"7.528"
"0.01","18",36,"7.587"
"0.01","19",20,"6.891"
"0.01","19",22,"6.991"
"0.01","19",24,"7.082"
"0.01","19",26,"7.165"
"0.01","19",28,"7.242"
"0.01","19",30,"7.312"
"0.01","19",32,"7.378"
"0.01","19",34,"7.440"
"0.01","19",36,"7.498"
"0.01","20",20,"6.823"
"0.01","20",22,"6.921"
"0.01","20",24,"7.011"
"0.01","20",26,"7.092"
"0.01","20",28,"7.167"
"0.01","20",30,"7.237"
"0.01","20",32,"7.301"
"0.01","20",34,"7.362"
"0.01","20",36,"7.419"
"0.01","24",20,"6.612"
"0.01","24",22,"6.705"
"0.01","24",24,"6.788"
"0.01","24",26,"6.865"
"0.01","24",28,"6.935"
"0.01","24",30,"7.001"
"0.01","24",32,"7.062"
"0.01","24",34,"7.119"
"0.01","24",36,"7.172"
"0.01","30",20,"6.407"
"0.01","30",22,"6.494"
"0.01","30",24,"6.572"
"0.01","30",26,"6.644"
"0.01","30",28,"6.710"
"0.01","30",30,"6.771"
"0.01","30",32,"6.828"
"0.01","30",34,"6.881"
"0.01","30",36,"6.931"
"0.01","40",20,"6.208"
"0.01","40",22,"6.289"
"0.01","40",24,"6.362"
"0.01","40",26,"6.429"
"0.01","40",28,"6.490"
"0.01","40",30,"6.547"
"0.01","40",32,"6.600"
"0.01","40",34,"6.650"
"0.01","40",36,"6.696"
"0.01","60",20,"6.015"
"0.01","60",22,"6.090"
"0.01","60",24,"6.158"
"0.01","60",26,"6.219"
"0.01","60",28,"6.276"
"0.01","60",30,"6.329"
"0.01","60",32,"6.378"
"0.01","60",34,"6.424"
"0.01","60",36,"6.467"
"0.01","120",20,"5.827"
"0.01","120",22,"5.896"
"0.01","120",24,"5.959"
"0.01","120",26,"6.016"
"0.01","120",28,"6.068"
"0.01","120",30,"6.117"
