treatment,t_day,organic_C_mg_L,O2_mg_L,regenerated_N_uM,O2_used_mg_L,O2_added_mg_L
weak_renewal,5.04,2.4834376901259665,0.6278583702995282,36.630857394521186,9.377499492997421,2.0053578632969473
weak_renewal,5.0600000000000005,2.4773716365378395,0.6234811686775595,36.69404545273084,9.393675635899093,2.0171568045766497
weak_renewal,5.08,2.4713390463098404,0.6192001290971197,36.7568849342725,9.409762543173757,2.028962672270874
weak_renewal,5.1000000000000005,2.4653394761407372,0.6150139166311729,36.81938045686732,9.425761396958032,2.040775313589202
weak_renewal,5.12,2.4593724845487794,0.6109212033349781,36.88153661928355,9.441673374536586,2.0525945778715613
weak_renewal,5.14,2.453437632015837,0.6069206686189937,36.94335799983504,9.457499647957766,2.064420316576758
weak_renewal,5.16,2.447534481128641,0.6030109996134584,37.00484915490999,9.473241383656957,2.076252383270412
weak_renewal,5.18,2.44166259671695,0.5991908915241928,37.06601461753177,9.488899742088131,2.0880906336123224
weak_renewal,5.2,2.4358215459884724,0.5954590479791978,37.12685889595341,9.504475877364072,2.0999349253432666
weak_renewal,5.22,2.4300108986603997,0.5918141813656568,37.18738647228751,9.5199709369056,2.111785118271254
weak_renewal,5.24,2.424230227087395,0.5882550131569725,37.24760180117297,9.535386061100278,2.123641074257248
weak_renewal,5.26,2.4184791063859237,0.5847802742295076,37.307509308479965,9.55072238297087,2.1355026572003744
weak_renewal,5.28,2.4127571145547817,0.5813887051687187,37.36711339005436,9.565981027853914,2.1473697330226296
weak_renewal,5.3,2.407063832591738,0.5780790565644129,37.42641841050273,9.581163113088698,2.159242169653107
weak_renewal,5.32,2.4013988446061663,0.5748500892948802,37.4854287020191,9.596269747716889,2.1711198370117657
weak_renewal,5.34,2.395761737927603,0.5717005747996874,37.54414856325414,9.61130203219306,2.183002606992743
weak_renewal,5.36,2.3901521032101347,0.5686292953409471,37.60258225822776,9.626261058106307,2.194890353447251
weak_renewal,5.38,2.3845695345325693,0.5656350442529102,37.66073401528574,9.64114790791315,2.2067829521660554
weak_renewal,5.4,2.379013629494316,0.5627166261797514,37.718608026100874,9.655963654681825,2.218680280861572
weak_renewal,5.42,2.373483989306949,0.5598728573014526,37.77620844471928,9.670709361848136,2.230582219149585
weak_renewal,5.44,2.367980218881408,0.5571025655477115,37.833539386652,9.685386082982912,2.2424886485306206
weak_renewal,5.46,2.362501926910821,0.5544045907998381,37.89060492801228,9.699994861571144,2.2543994523709787
weak_renewal,5.48,2.3570487259489297,0.5517777850806139,37.94740910469865,9.714536730802854,2.2663145158834648
weak_renewal,5.5,2.3516202324841187,0.5492210127321314,38.00395591162377,9.729012713375685,2.278233726107812
weak_renewal,5.5200000000000005,2.346216067009048,0.5467331505816397,38.06024930198908,9.743423821309205,2.290156971890841
weak_renewal,5.54,2.3408358540859124,0.5443130880954603,38.11629318660508,9.7577710557709,2.302084143866357
weak_renewal,5.5600000000000005,2.3354792224073364,0.5419597275210459,38.17209143325692,9.77205540691377,2.3140151344348125
weak_renewal,5.58,2.330145804852951,0.5396719840172893,38.22764786611509,9.786277853725464,2.3259498377427503
weak_renewal,5.6000000000000005,2.324835238541678,0.5374487857731975,38.28296626519085,9.800439363888858,2.3378881496620525
weak_renewal,5.62,2.3195471648797783,0.5352890741150776,38.33805036583564,9.814540893653925,2.349829967768999
weak_renewal,5.64,2.314281229604704,0.5331918036023888,38.392903858284335,9.82858338772079,2.361775191323176
weak_renewal,5.66,2.309037082824827,0.5311559421124392,38.447530387241386,9.842567779133795,2.3737237212462308
weak_renewal,5.68,2.303814379055105,0.5291804709141158,38.501933551509325,9.856494989186388,2.3856754601005
weak_renewal,5.7,2.298612777248744,0.5272643847308576,38.55611690365892,9.870365927336683,2.3976303120675375
weak_renewal,5.72,2.2934319408249553,0.5254066917930884,38.610083949740044,9.884181491133452,2.4095881829265378
weak_renewal,5.74,2.2882715376928675,0.5236064138803433,38.66383814903263,9.897942566152354,2.4215489800326946
weak_renewal,5.76,2.283131240271689,0.5218625863533294,38.71738291383657,9.911650025942164,2.43351261229549
weak_renewal,5.78,2.278010725507209,0.5201742581761791,38.770721609299905,9.925304731980777,2.445478990156953
weak_renewal,5.8,2.2729096748847293,0.5185404919291531,38.82385755328407,9.938907533640723,2.4574480255698727
weak_renewal,5.82,2.2678277744385165,0.5169603638120653,38.87679401626546,9.952459268163956,2.469419631976019
weak_renewal,5.84,2.262764714757885,0.5154329636387086,38.929534221272036,9.96596076064564,2.481393724284346
weak_renewal,5.86,2.2577201909899998,0.513957394822561,38.98208134385417,9.979412824026667,2.493370218849226
weak_renewal,5.88,2.252693902839509,0.5125327743540636,39.03443851208844,9.992816259094642,2.5053490334487023
weak_renewal,5.9,2.247685554565111,0.5111582327697601,39.08660880661343,10.006171854493036,2.5173300872627946
weak_renewal,5.92,2.2426948549731525,0.5098329141135927,39.13859526069633,10.019480386738259,2.52931330085185
weak_renewal,5.94,2.237721517408379,0.5085559758906522,39.19040086032938,10.032742620244322,2.541298596134972
weak_renewal,5.96,2.2327652597419347,0.5073265890136817,39.242028544354845,10.04595930735484,2.5532858963685197
