treatment,t_h,E_umol,R_umol,G_umol,exported_umol,B_units,U_umol_h,A_umol_h
replete,23.92,0.0,0.2547157243792055,23.503385490925638,14.24189878469516,2.3503385490925637,0.0,0.08456801413194073
replete,23.94,0.0,0.25302967787573416,23.50507153742911,14.24189878469516,2.350507153742911,0.0,0.08403713184612352
replete,23.96,0.0,0.25135421932030055,23.506746995984546,14.24189878469516,2.3506746995984544,0.0,0.08350921731902722
replete,23.98,0.0,0.24968928947830696,23.50841192582654,14.24189878469516,2.350841192582654,0.0,0.08298425849159938
replete,24.0,0.0,0.24803482935641635,23.51006638594843,14.24189878469516,2.351006638594843,0.0,0.08246224329698237
replete,24.02,0.0,0.24639078020269967,23.511710435102145,14.24189878469516,2.3511710435102144,0.0,0.08194315966136997
replete,24.04,0.0,0.24475708350676645,23.513344131798082,14.24189878469516,2.351334413179808,0.0,0.08142699550485413
replete,24.06,0.0,0.24313368099987842,23.51496753430497,14.24189878469516,2.3514967534304967,0.0,0.08091373874226208
replete,24.080000000000002,0.0,0.2415205146550462,23.5165807006498,14.24189878469516,2.35165807006498,0.0,0.08040337728398368
replete,24.1,0.0,0.239917526687111,23.518183688617736,14.24189878469516,2.3518183688617738,0.0,0.07989589903678922
replete,24.12,0.0,0.23832465955280732,23.51977655575204,14.24189878469516,2.3519776555752037,0.0,0.0793912919046369
replete,24.14,0.0,0.2367418559508121,23.521359359354033,14.24189878469516,2.3521359359354035,0.0,0.07888954378947152
replete,24.16,0.0,0.23516905882177705,23.52293215648307,14.24189878469516,2.3522932156483067,0.0,0.07839064259201296
replete,24.18,0.0,0.2336062113483452,23.524495003956503,14.24189878469516,2.3524495003956503,0.0,0.07789457621253537
replete,24.2,0.0,0.23205325695515208,23.526047958349693,14.24189878469516,2.3526047958349694,0.0,0.07740133255163648
replete,24.22,0.0,0.23051013930881178,23.527591075996035,14.24189878469516,2.3527591075996037,0.0,0.07691089951099783
replete,24.240000000000002,0.0,0.22897680231788736,23.52912441298696,14.24189878469516,2.352912441298696,0.0,0.07642326499413504
replete,24.26,0.0,0.22745319013284782,23.530648025172,14.24189878469516,2.3530648025172,0.0,0.0759384169071392
replete,24.28,0.0,0.22593924714600766,23.53216196815884,14.24189878469516,2.353216196815884,0.0,0.07545634315940809
replete,24.3,0.0,0.22443491799145465,23.533666297313392,14.24189878469516,2.3533666297313394,0.0,0.07497703166436862
replete,24.32,0.0,0.22294014754496178,23.535161067759883,14.24189878469516,2.3535161067759884,0.0,0.0745004703401898
replete,24.34,0.0,0.22145488092388532,23.53664633438096,14.24189878469516,2.353664633438096,0.0,0.07402664711048637
