"","dist","bio","augMean","febRange","febSD","augSD","annMean","Y","Y1","Y2"
"122",148.803,"BMP",0.0683079751598961,0.157616218731333,0.257416366964484,0.0865362942556088,0.115093050226684,0.0354609929078014,0.0215827338129496,0.0138782590948518
"123",201.163,"BMP",0.185284734904063,0.045826927788117,0.172993028393567,0.0916230333444507,0.0181532085652312,0.0354609929078014,0.0215827338129496,0.0138782590948518
"124",255.356,"BMP",0.328712672549708,0.421570051530842,0.182801409933722,0.0852394145420678,0.179854770854702,0.0422535211267606,0.0215827338129496,0.0206707873138109
"125",304.82,"BMP",0.462394110988596,0.8432568658903,0.781383499302218,1.07994059738049,0.192448296125888,0.0555555555555556,0.0215827338129496,0.0339728217426059
"126",353.414,"BMP",0.725299332856031,0.346547274310427,0.507926376558723,0.331649751520915,0.958173089465429,0.0592334494773519,0.0287769784172662,0.0304564710600857
"127",399.4,"BMP",0.71781446576111,0.310056104217116,0.33655091184729,0.146874582587597,0.139364089128563,0.0939597315436242,0.0287769784172662,0.065182753126358
"128",435.818,"BMP",0.758887604579346,0.455992092946815,0.470215173223119,0.118357601157218,1.16070415194726,0.102990033222591,0.0287769784172662,0.0742130548053252
"129",442.267,"BMP",0.741831576719952,0.408053126004869,0.424464580352378,0.0565411496963122,0.834905421869421,0.221902017291066,0.0287769784172662,0.1931250388738
"130",498.406,"BMP",0.670976201500848,0.0688277403727403,0.149693359757788,0.280063981044778,0.220571217543491,0.0769230769230769,0.0503597122302158,0.0265633646928611
"131",544.485,"BMP",0.638035879047426,0.0574202434009678,0.00875035273416042,0.924330807676313,0.398834997157493,0.153094462540717,0.0647482014388489,0.0883462611018677
"132",591.983,"BMP",0.836258649368446,0.315105239930125,0.195416496373223,0.265662733762066,0.532245993100589,0.253644314868805,0.079136690647482,0.174507624221323
"175",153.042,"BMP",0.203224406133163,0.557654418138262,0.0407209950775299,0.415258787133235,0.0513417003270498,0.00719424460431655,0,0.00719424460431655
"176",101.904,"BMP",0.145810719674078,0.458810380730173,0.203673705228779,0.101978826585794,0.0663601581682478,0.003584229390681,0,0.003584229390681
"177",48.599,"BMP",0.0527853693816516,0.208776874473251,0.140062622216503,0.00356511300698347,0.0253192345481945,0.003584229390681,0,0.003584229390681
"178",0,"BMP",0,0,0,0,0,0,0,0
"179",54.344,"BMP",0.0333155101670115,0.0388263375480827,0.097529548803709,0.035848563079775,0.0590130097016972,0.0176678445229682,0.00714285714285714,0.0105249873801111
"180",100.204,"BMP",0.121093344541548,0.0511606557419184,0.117353744747982,0.0901014072625923,0.0897738156784895,0.0318021201413428,0.0214285714285714,0.0103735487127713
"181",152.564,"BMP",0.238070104285715,0.254603802261368,0.0329304061770643,0.0951881463514342,0.00716602598296334,0.0318021201413428,0.0214285714285714,0.0103735487127713
"182",206.757,"BMP",0.38149804193136,0.630346926004093,0.322864032150224,0.0816743015350843,0.205174005402897,0.0385964912280702,0.0214285714285714,0.0171679197994987
"183",256.221,"BMP",0.515179480370248,1.05203374036355,0.921446121518721,1.08350571038747,0.217767530674082,0.0519031141868512,0.0214285714285714,0.0304745427582798
"184",304.815,"BMP",0.778084702237683,0.555324148783678,0.647988998775225,0.328084638513932,0.983492324013624,0.0555555555555556,0.0285714285714286,0.026984126984127
"185",350.801,"BMP",0.770599835142762,0.101279229743865,0.196488289630787,0.143309469580613,0.164683323676758,0.0903010033444816,0.0285714285714286,0.061729574773053
"186",387.219,"BMP",0.811672973960998,0.247215218473564,0.330152551006617,0.114792488150234,1.18602338649545,0.0993377483443709,0.0285714285714286,0.0707663197729423
"187",393.668,"BMP",0.794616946101604,0.199276251531618,0.284401958135876,0.0529760366893287,0.860224656417615,0.218390804597701,0.0285714285714286,0.189819376026273
"188",449.807,"BMP",0.723761570882499,0.277604614845992,0.289755981974291,0.283629094051762,0.245890452091686,0.0801393728222996,0.0571428571428571,0.0229965156794425
"189",495.886,"BMP",0.690821248429078,0.151356631072283,0.148812974950663,0.927895920683296,0.424154231705688,0.155844155844156,0.0714285714285714,0.0844155844155844
"190",543.384,"BMP",0.889044018750097,0.523882114403376,0.335479118589725,0.269227846769049,0.557565227648783,0.255813953488372,0.0857142857142857,0.170099667774086
"233",207.386,"BMP",0.169908895966152,0.596480755686345,0.138250543881239,0.45110735021301,0.110354710028747,0.0249110320284698,0.0072463768115942,0.0176646552168756
"234",156.248,"BMP",0.112495209507067,0.497636718278256,0.301203254032488,0.137827389665569,0.125373167869945,0.0212765957446809,0.00719424460431655,0.0140823511403643
"235",102.943,"BMP",0.0194698592146401,0.247603212021334,0.237592171020211,0.0322834500727915,0.0843322442498917,0.0212765957446809,0.00719424460431655,0.0140823511403643
"236",54.344,"BMP",0.0333155101670115,0.0388263375480827,0.097529548803709,0.035848563079775,0.0590130097016972,0.0176678445229682,0.00714285714285714,0.0105249873801111
"237",0,"BMP",0,0,0,0,0,0,0,0
"238",45.86,"BMP",0.0877778343745361,0.0899869932900011,0.0198241959442727,0.0542528441828173,0.0307608059767923,0.013986013986014,0.013986013986014,0
"239",98.22,"BMP",0.204754594118703,0.293430139809451,0.0645991426266446,0.0593395832716592,0.0661790356846605,0.013986013986014,0.013986013986014,0
"240",152.413,"BMP",0.348182531764349,0.669173263552176,0.420393580953933,0.117522864614859,0.264187015104594,0.0208333333333333,0.013986013986014,0.00684731934731935
"241",201.877,"BMP",0.481863970203236,1.09086007791163,1.01897567032243,1.04765714730769,0.276780540375779,0.0342465753424658,0.013986013986014,0.0202605613564518
"242",250.471,"BMP",0.744769192070671,0.594150486331761,0.745518547578934,0.363933201593707,1.04250533371532,0.0378006872852234,0.020979020979021,0.0168216663062024
"243",296.457,"BMP",0.73728432497575,0.0624528921957824,0.0989587408270784,0.179158032660388,0.223696333378455,0.0728476821192053,0.020979020979021,0.0518686611401843
"244",332.875,"BMP",0.778357463793986,0.208388880925481,0.232623002202908,0.150641051230009,1.24503639619715,0.0819672131147541,0.020979020979021,0.0609881921357331
"245",339.324,"BMP",0.761301435934592,0.160449913983535,0.186872409332167,0.0888245997691037,0.919237666119312,0.202279202279202,0.020979020979021,0.181300181300181
"246",395.463,"BMP",0.690446060715488,0.316430952394074,0.387285530778,0.247780530971987,0.304903461793383,0.0896551724137931,0.0769230769230769,0.0127320954907162
"247",441.542,"BMP",0.657505738262066,0.190182968620366,0.246342523754372,0.892047357603521,0.483167241407385,0.163987138263666,0.0909090909090909,0.0730780473545747
"248",489.04,"BMP",0.855728508583086,0.562708451951459,0.433008667393434,0.233379283689274,0.61657823735048,0.262247838616715,0.104895104895105,0.15735273372161
"291",253.246,"BMP",0.0821310615916158,0.506493762396344,0.158074739825512,0.505360194395827,0.141115516005539,0.0391459074733096,0.0217391304347826,0.017406777038527
"292",202.108,"BMP",0.0247173751325305,0.407649724988255,0.321027449976761,0.192080233848386,0.156133973846737,0.0354609929078014,0.0215827338129496,0.0138782590948518
"293",148.803,"BMP",0.0683079751598961,0.157616218731333,0.257416366964484,0.0865362942556088,0.115093050226684,0.0354609929078014,0.0215827338129496,0.0138782590948518
"294",100.204,"BMP",0.121093344541548,0.0511606557419184,0.117353744747982,0.0901014072625923,0.0897738156784895,0.0318021201413428,0.0214285714285714,0.0103735487127713
"295",45.86,"BMP",0.0877778343745361,0.0899869932900011,0.0198241959442727,0.0542528441828173,0.0307608059767923,0.013986013986014,0.013986013986014,0
"296",0,"BMP",0,0,0,0,0,0,0,0
"297",52.36,"BMP",0.116976759744167,0.20344314651945,0.0844233385709173,0.00508673908884191,0.0969398416614529,0,0,0
"298",106.553,"BMP",0.260404697389812,0.579186270262175,0.440217776898206,0.171775708797677,0.294947821081386,0.00694444444444444,0,0.00694444444444444
"299",156.017,"BMP",0.3940861358287,1.00087308462163,1.0387998662667,0.993404303124877,0.307541346352572,0.0205479452054795,0,0.0205479452054795
"300",204.611,"BMP",0.656991357696135,0.50416349304176,0.765342743523207,0.418186045776524,1.07326613969211,0.0240549828178694,0.00699300699300699,0.0170619758248624
"301",250.597,"BMP",0.649506490601214,0.152439885485784,0.0791345448828057,0.233410876843205,0.254457139355247,0.0596026490066225,0.00699300699300699,0.0526096420136155
"302",287.015,"BMP",0.69057962941945,0.298375874215482,0.212798806258635,0.204893895412827,1.27579720217394,0.0688524590163934,0.00699300699300699,0.0618594520233865
"303",293.464,"BMP",0.673523601560056,0.250436907273536,0.167048213387894,0.143077443951921,0.949998472096105,0.190883190883191,0.00699300699300699,0.183890183890184
"304",349.603,"BMP",0.602668226340952,0.226443959104073,0.407109726722273,0.19352768678917,0.335664267770175,0.0896551724137931,0.0769230769230769,0.0127320954907162
"305",395.682,"BMP",0.56972790388753,0.100195975330365,0.266166719698645,0.837794513420704,0.513928047384177,0.163987138263666,0.0909090909090909,0.0730780473545747
"306",443.18,"BMP",0.76795067420855,0.472721458661458,0.452832863337707,0.179126439506457,0.647339043327273,0.262247838616715,0.104895104895105,0.15735273372161
"349",305.606,"BMP",0.0348456981525511,0.303050615876894,0.0736514012545942,0.510446933484669,0.0441756743440864,0.0391459074733096,0.0217391304347826,0.017406777038527
"350",254.468,"BMP",0.0922593846116364,0.204206578468805,0.236604111405844,0.197166972937228,0.0591941321852845,0.0354609929078014,0.0215827338129496,0.0138782590948518
"351",201.163,"BMP",0.185284734904063,0.045826927788117,0.172993028393567,0.0916230333444507,0.0181532085652312,0.0354609929078014,0.0215827338129496,0.0138782590948518
"352",152.564,"BMP",0.238070104285715,0.254603802261368,0.0329304061770643,0.0951881463514342,0.00716602598296334,0.0318021201413428,0.0214285714285714,0.0103735487127713
"353",98.22,"BMP",0.204754594118703,0.293430139809451,0.0645991426266446,0.0593395832716592,0.0661790356846605,0.013986013986014,0.013986013986014,0
"354",52.36,"BMP",0.116976759744167,0.20344314651945,0.0844233385709173,0.00508673908884191,0.0969398416614529,0,0,0
"355",0,"BMP",0,0,0,0,0,0,0,0
"356",54.193,"BMP",0.143427937645646,0.375743123742725,0.355794438327289,0.176862447886519,0.198007979419933,0.00694444444444444,0,0.00694444444444444
