lon,lat,date
-28.566029,38.869993,1998-01-01T00:00:00Z
-25.6015,37.6106,2017-05-16T11:10:00Z
-28.5802,38.657,2016-03-08T10:41:00Z
-25.2929,37.6113,2010-05-22T15:49:00Z
-28.3493,38.3622,2011-05-23T17:40:00Z
-25.5751,37.69,2017-03-24T10:28:00Z
-27.97184,38.91912,2003-01-01T00:00:00Z
-28.2301,38.3616,2017-04-07T10:05:00Z
-28.1109,38.3448,2018-05-28T09:58:00Z
-27.941684,38.936631,1998-01-01T00:00:00Z
-28.678198,38.341958,2017-04-18T10:49:21Z
-28.7525,38.4988,2014-05-14T10:25:00Z
-28.595,38.6292,2017-05-20T09:13:00Z
-28.6095,38.6872,2016-03-08T11:41:00Z
-28.600193,38.434108,2017-03-24T09:52:45Z
-25.5802,37.6926,2017-03-24T10:15:00Z
-28.2632,38.3357,2017-04-05T10:22:00Z
-28.569603,38.647612,2022-05-03T15:36:44Z
-28.800142,38.61968,2022-04-05T11:18:00Z
-25.3817,37.6499,2011-04-21T10:33:00Z
-25.6745,37.6081,2019-05-29T12:01:00Z
-27.211533,39.042343,1998-01-01T00:00:00Z
-25.5451,37.6781,2019-05-10T10:05:00Z
-25.2882,37.5825,2010-05-22T15:44:00Z
-28.6096,38.6128,2018-03-27T15:32:00Z
-27.2,38.6,2022-03-31T11:49:50Z
-25.5709,37.5793,2016-05-01T10:30:00Z
-28.1875,38.3266,2018-04-10T15:54:00Z
-27.1846,38.5835,2016-03-13T10:35:00Z
-27.278065,38.520395,1998-01-01T00:00:00Z
-25.2882,37.5825,2010-05-22T15:44:00Z
-25.6717,37.619,2019-05-29T12:14:00Z
-28.5191,38.4356,2014-07-15T09:20:00Z
-28.5481,38.4667,2018-04-28T10:35:00Z
-28.6624,38.4628,2015-06-17T16:23:00Z
-28.6167,38.4501,2016-05-01T09:47:00Z
-25.5711,37.6872,2017-03-24T14:04:00Z
-28.595,38.6292,2017-05-20T09:13:00Z
-27.506917,38.90745,2011-05-26T00:00:00Z
-29.867937,38.999989,1998-01-01T00:00:00Z
-28.2625,38.399,2017-10-01T14:14:00Z
-28.6809,38.496,2017-04-03T12:17:00Z
-25.7727,37.6265,2016-02-22T10:48:00Z
-28.5248,38.4301,2017-06-02T12:00:00Z
-28.1109,38.3448,2018-05-28T09:58:00Z
-25.2882,37.5825,2010-05-22T15:44:00Z
-28.0369,38.2405,2017-07-05T14:49:00Z
-28.5823,38.6885,2016-03-07T13:14:00Z
-28.6496,38.4083,2014-07-12T10:05:00Z
-30.631632,38.152177,1998-01-01T00:00:00Z
-29.454162,39.383262,1998-01-01T00:00:00Z
-28.909567,38.598088,2022-05-07T14:54:14Z
-28.2271,38.3166,2018-06-02T15:45:00Z
-25.6816,37.6466,2017-05-29T10:25:00Z
-28.644668,38.502068,2021-04-30T09:41:36Z
-28,38,2013-04-18T09:53:00Z
-28.366667,38.4,2003-05-21T00:00:00Z
-28.6797,38.3436,2017-04-18T10:56:00Z
-28.6809,38.496,2017-04-03T12:17:00Z
-28.6597,38.4539,2015-06-17T17:01:00Z
-31.295167,39.355283,2013-08-31T00:00:00Z
-25.6798,37.6832,2017-04-28T09:48:00Z
-25.8781,37.7511,2019-03-11T10:28:00Z
-28.578806,38.526597,2006-05-30T00:00:00Z
-25.5449,37.7164,2018-05-17T10:41:00Z
-28.5923,38.5068,2016-05-02T09:26:00Z
-28.5102,38.4297,2016-05-19T09:22:00Z
-27.6,38.4,2014-06-12T18:14:00Z
-27.966667,38.916667,2003-05-28T00:00:00Z
-28.606275,38.691475,2016-03-08T11:26:34Z
-25.8169,37.735,2018-05-08T10:06:00Z
-28.4137,38.4193,2014-05-10T10:08:00Z
-25.6745,37.6081,2019-05-29T12:01:00Z
-28.37714,38.4014,2003-01-01T00:00:00Z
-28.3661,38.3807,2018-05-11T16:40:00Z
-28.5798,38.4317,2016-05-21T10:13:00Z
-28.5202,38.4105,2014-07-01T10:40:00Z
-28.4611,38.3778,2014-07-03T10:23:00Z
-28.2292,38.3369,2018-05-18T15:16:00Z
-25.9319,37.8377,2019-04-20T17:03:00Z
-28.5148,38.4097,2018-05-13T10:04:00Z
-28.4967,38.3805,2015-03-24T10:51:00Z
-27.327449,38.598802,1998-01-01T00:00:00Z
-25.2374,37.7048,2017-06-06T10:21:00Z
-26.09639,38.71549,2017-08-01T00:00:00Z
-28.656073,38.476177,2015-04-08T12:01:02Z
-25.2377,37.5847,2019-05-19T10:36:00Z
-25.5542,37.7161,2018-05-17T09:52:00Z
-28.866667,38.383333,2004-05-13T00:00:00Z
-28.5777,38.5977,2018-03-27T16:43:00Z
-25.5764,37.7026,2017-03-24T14:34:00Z
-28.538907,38.647218,2016-03-08T10:40:45Z
-28.6537,38.4676,2017-04-11T10:15:00Z
